학교 id,X,Y,행정동명
F1,126.5439211,37.46729212,
F2,126.5687263,37.4963021,인천광역시 중구 영종1동
F3,126.4927697,37.48442796,인천광역시 중구 운서동
F4,126.6296832,37.49578091,
F5,126.5282856,37.4502848,
F6,126.6337449,37.45740626,인천광역시 중구 신흥동
F7,126.5821593,37.49591778,
F8,126.6417203,37.47615161,인천광역시 동구 송림2동
F9,126.6219553,37.474686,인천광역시 중구 신포동
F10,126.6513551,37.48239204,인천광역시 동구 송림6동
F11,126.6010283,37.48654138,
F12,126.6232467,37.4778025,인천광역시 중구 동인천동
F13,126.6440576,37.44974244,인천광역시 미추홀구 용현5동
F14,126.6297188,37.4599976,인천광역시 중구 신포동
F15,126.5975997,37.45776059,인천광역시 중구 연안동
F16,126.6290139,37.4705455,인천광역시 중구 신포동
F17,126.640453,37.44863092,인천광역시 미추홀구 용현5동
F18,126.6320459,37.47845471,인천광역시 동구 화수1·화평동
F19,126.6147109,37.47150867,
F20,126.6382805,37.4666972,인천광역시 중구 도원동
F21,126.6388177,37.4713039,인천광역시 동구 금창동
F22,126.6222927,37.483259,인천광역시 동구 만석동
F23,126.6049757,37.4547726,인천광역시 중구 연안동
F24,126.6315819,37.4839251,인천광역시 동구 화수2동
F25,126.6000091,37.476411,인천광역시 중구 북성동
F26,126.6499082,37.46217377,인천광역시 미추홀구 숭의2동
F27,126.4252418,37.389254,인천광역시 중구 용유동
F28,126.6182657,37.4508596,인천광역시 중구 연안동
F29,126.517925,37.514117,인천광역시 중구 영종동
F30,126.6488962,37.4729162,인천광역시 동구 송림3·5동
F31,126.6474913,37.47629169,인천광역시 동구 송림3·5동
F32,126.6019883,37.46995993,인천광역시 중구 북성동
F33,126.5570414,37.5026657,인천광역시 중구 영종동
F34,126.561206,37.50549352,인천광역시 중구 영종동
F35,126.5565501,37.489165,인천광역시 중구 영종1동
F36,126.524555,37.4776037,인천광역시 중구 영종동
F37,126.5401184,37.49812106,인천광역시 중구 영종동
F38,126.5229638,37.5088544,인천광역시 중구 영종동
F39,126.5886517,37.497567,인천광역시 중구 영종동
F40,126.512497,37.4751082,인천광역시 중구 영종동
F41,126.5281088,37.4839376,인천광역시 중구 영종동
F42,126.5500432,37.50940761,인천광역시 중구 영종동
F43,126.38,37.46,인천광역시 중구 운서동
F44,126.5025337,37.4870376,인천광역시 중구 운서동
F45,126.4878278,37.4968231,인천광역시 중구 운서동
F46,126.503234,37.49749395,인천광역시 중구 운서동
F47,126.4876021,37.5009167,인천광역시 중구 운서동
F48,126.5418928,37.4831569,인천광역시 중구 영종동
F49,126.5297594,37.50996608,인천광역시 중구 영종동
F50,126.5011353,37.51461298,인천광역시 중구 영종동
